[[1, 0, 5, 3], [4, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 4, 2, 3], [8, 1, 6, 7], [9, 0, 10, 11], [12, 13, 14, 15]]
[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 4, 2, 3], [1, 6, 10, 7], [0, 9, 14, 11], [8, 12, 13, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [12, 9, 10, 11], [13, 0, 14, 15]]
[[1, 2, 3, 7], [4, 5, 6, 11], [8, 9, 10, 15], [12, 0, 13, 14]]
[[4, 1, 2, 3], [9, 8, 7, 11], [5, 10, 6, 15], [12, 13, 14, 0]]
[[4, 3, 0, 7], [5, 1, 9, 2], [8, 13, 6, 11], [12, 14, 10, 15]]
[[4, 1, 5, 3], [9, 8, 2, 0], [6, 10, 11, 7], [12, 13, 14, 15]]
[[0, 4, 2, 3], [5, 1, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 8, 2, 3], [4, 0, 6, 7], [13, 5, 10, 11], [9, 12, 14, 15]]
[[1, 5, 2, 3], [9, 6, 7, 11], [4, 12, 8, 0], [13, 14, 10, 15]]
[[4, 2, 6, 3], [5, 1, 7, 11], [8, 9, 10, 15], [12, 13, 14, 0]]
[[4, 1, 2, 3], [5, 10, 9, 6], [8, 0, 11, 7], [12, 13, 14, 15]]
[[4, 1, 0, 2], [8, 5, 6, 3], [12, 10, 11, 7], [13, 9, 14, 15]]
[[4, 2, 6, 3], [5, 0, 10, 7], [8, 1, 9, 11], [12, 13, 14, 15]]
[[4, 1, 7, 2], [5, 6, 3, 11], [8, 9, 10, 0], [12, 13, 14, 15]]
[[4, 2, 6, 3], [5, 1, 10, 7], [8, 9, 14, 11], [12, 13, 15, 0]]
[[1, 5, 2, 0], [4, 6, 10, 3], [8, 13, 9, 7], [12, 14, 15, 11]]
[[1, 5, 2, 3], [4, 9, 7, 11], [8, 0, 10, 15], [12, 13, 6, 14]]
[[1, 0, 3, 7], [4, 2, 15, 6], [8, 5, 9, 11], [12, 13, 10, 14]]
[[5, 4, 2, 3], [1, 9, 7, 0], [12, 8, 6, 11], [13, 14, 10, 15]]
[[1, 5, 3, 7], [8, 13, 4, 2], [9, 6, 11, 15], [12, 14, 10, 0]]
[[1, 6, 5, 3], [4, 2, 10, 7], [8, 9, 11, 0], [12, 13, 14, 15]]
[[4, 1, 2, 3], [12, 5, 6, 7], [0, 9, 10, 11], [13, 8, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [9, 0, 13, 11], [12, 14, 10, 15]]
[[4, 1, 3, 7], [8, 5, 6, 2], [9, 13, 10, 11], [12, 14, 0, 15]]
[[1, 5, 2, 3], [0, 6, 10, 7], [4, 9, 11, 15], [8, 12, 13, 14]]
[[4, 1, 6, 3], [0, 2, 5, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 6, 1, 3], [5, 9, 0, 2], [8, 10, 14, 7], [12, 13, 15, 11]]
[[4, 1, 0, 3], [8, 5, 2, 7], [12, 9, 6, 11], [13, 14, 10, 15]]
[[1, 2, 3, 7], [4, 10, 6, 11], [8, 5, 0, 14], [12, 9, 13, 15]]
[[4, 1, 2, 3], [5, 9, 6, 11], [0, 8, 7, 10], [12, 13, 14, 15]]
[[4, 1, 2, 3], [5, 9, 6, 7], [8, 0, 10, 11], [12, 13, 14, 15]]
[[4, 1, 3, 6], [8, 5, 2, 0], [9, 10, 11, 7], [12, 13, 14, 15]]
[[4, 1, 2, 3], [5, 9, 6, 7], [8, 13, 10, 11], [12, 0, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 0], [9, 10, 11, 7], [12, 13, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [12, 9, 10, 11], [0, 13, 14, 15]]
[[1, 2, 6, 3], [4, 0, 5, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [5, 9, 7, 0], [8, 10, 6, 11], [12, 13, 14, 15]]
[[1, 2, 6, 3], [4, 5, 7, 0], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 4, 2, 3], [8, 0, 1, 7], [9, 10, 6, 11], [12, 13, 14, 15]]
[[4, 0, 1, 3], [5, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[2, 3, 0, 5], [1, 4, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 0], [4, 9, 7, 3], [8, 10, 6, 11], [12, 13, 14, 15]]
[[5, 4, 3, 0], [1, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 0, 2, 3], [4, 9, 6, 7], [12, 8, 10, 11], [13, 5, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 0], [9, 13, 10, 7], [12, 14, 15, 11]]
[[4, 1, 2, 3], [8, 5, 6, 7], [9, 13, 11, 15], [12, 14, 0, 10]]
[[4, 0, 2, 3], [5, 1, 9, 6], [8, 10, 11, 7], [12, 13, 14, 15]]
[[1, 5, 2, 3], [0, 9, 6, 7], [4, 8, 14, 11], [12, 10, 13, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [0, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [8, 5, 7, 10], [9, 13, 6, 0], [12, 14, 15, 11]]
[[4, 1, 5, 3], [8, 6, 2, 7], [9, 0, 10, 11], [12, 13, 14, 15]]
[[0, 1, 2, 3], [5, 9, 6, 7], [8, 4, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [5, 9, 6, 7], [8, 13, 10, 11], [12, 0, 14, 15]]
[[4, 1, 3, 7], [2, 9, 0, 6], [8, 10, 5, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [12, 10, 14, 11], [13, 0, 9, 15]]
[[1, 5, 2, 3], [4, 6, 7, 11], [12, 8, 10, 15], [9, 0, 13, 14]]
[[1, 5, 2, 7], [4, 9, 3, 6], [8, 10, 11, 0], [12, 13, 14, 15]]
[[1, 5, 2, 3], [4, 0, 6, 7], [8, 9, 13, 11], [12, 14, 10, 15]]
[[0, 6, 2, 3], [1, 8, 10, 7], [4, 5, 9, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [8, 5, 6, 7], [13, 10, 14, 11], [9, 12, 0, 15]]
[[4, 1, 2, 3], [9, 8, 6, 7], [13, 0, 10, 11], [5, 12, 14, 15]]
[[4, 1, 2, 3], [5, 6, 7, 11], [8, 9, 14, 0], [12, 10, 13, 15]]
[[1, 5, 2, 3], [4, 6, 10, 7], [8, 9, 11, 0], [12, 13, 14, 15]]
[[1, 2, 6, 3], [4, 9, 5, 7], [8, 10, 0, 11], [12, 13, 14, 15]]
[[1, 5, 10, 0], [4, 6, 3, 2], [8, 9, 11, 7], [12, 13, 14, 15]]
[[6, 4, 5, 3], [1, 2, 7, 11], [8, 9, 10, 15], [12, 13, 0, 14]]
[[4, 8, 2, 3], [5, 6, 7, 11], [12, 1, 10, 15], [13, 9, 14, 0]]
[[1, 2, 6, 3], [4, 5, 10, 7], [8, 9, 14, 11], [12, 13, 15, 0]]
[[4, 0, 2, 3], [5, 1, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
